MFN;Columna;Antes;Despues
035749;v22_Autor_personal;Gordon, Geoffrey ;Gordon, Geoffrey
035753;v20_Titulo;Solid-state power conversion handbook ;Solid-state power conversion handbook
035753;v43_Lugar_de_edicion;New York ;New York
035757;v20_Titulo;Physics of magnetism ;Physics of magnetism
035758;v20_Titulo;Recovery, recrystallization, and grain growth ;Recovery, recrystallization, and grain growth
035761;v43_Lugar_de_edicion;New York ;New York
035761;v45_Editor;Wiley ;Wiley
035763;v20_Titulo;Handbook of the interference effects encountered in atomic-absorption spectrophotometry ;Handbook of the interference effects encountered in atomic-absorption spectrophotometry
035765;v20_Titulo;Mechanical measurements ;Mechanical measurements
035766;v20_Titulo;Computers and instrumentation : a practical handbook of measurement, interfacing and control circuits ;Computers and instrumentation : a practical handbook of measurement, interfacing and control circuits
035766;v22_Autor_personal;Carrick, Alan ;Carrick, Alan
035766;v43_Lugar_de_edicion;London ;London
035768;v22_Autor_personal;Dally, James W. <|>Riley, William F. <|>McConnell, Kenneth G. ;Dally, James W. <|>Riley, William F. <|>McConnell, Kenneth G.
035769;v22_Autor_personal;Anderson, Norman A. ;Anderson, Norman A.
035773;v20_Titulo;Informática básica ;Informática básica
035773;v22_Autor_personal;Novel i Cabre, Antoni ;Novel i Cabre, Antoni
035778;v20_Titulo;Mineral processing technology : an introduction to the practical aspects of ore treatment and mineral recovery : (in SI/Metric Units) ;Mineral processing technology : an introduction to the practical aspects of ore treatment and mineral recovery : (in SI/Metric Units)
035779;v20_Titulo;Flotación de minerales ;Flotación de minerales
035780;v43_Lugar_de_edicion;New York ;New York
035784;v22_Autor_personal;Jones, W. R. ;Jones, W. R.
035786;v32_Reunion_Fecha;19-23 de agosto de 1985;1985
035787;v20_Titulo;How to know the minerals and rocks ;How to know the minerals and rocks
035787;v22_Autor_personal;Pearl, Richard M. ;Pearl, Richard M.
035787;v43_Lugar_de_edicion;New York ;New York
035789;v20_Titulo;Protección de edificios contra incendio ;Protección de edificios contra incendio
035789;v22_Autor_personal;Quadri, Néstor Pedro ;Quadri, Néstor Pedro
035789;v45_Editor;Alsina ;Alsina
035853;v43_Lugar_de_edicion;Santiago ;Santiago
035853;v45_Editor;Gobierno de Chile<|>Gobierno Regional de la Región del Bío-Bío ;Gobierno de Chile<|>Gobierno Regional de la Región del Bío-Bío
035924;v20_Titulo;"Tecnología y pequeña producción agropecuaria en la Argentina; una caracterización basada en el Censo Nacional Agropecuario 2002 y en estudios de caso ";"Tecnología y pequeña producción agropecuaria en la Argentina; una caracterización basada en el Censo Nacional Agropecuario 2002 y en estudios de caso"
036027;v43_Lugar_de_edicion;Paris ;Paris
036165;v22_Autor_personal;D'Orio, Carlos A. ;D'Orio, Carlos A.
036212;v43_Lugar_de_edicion;Buenos Aires ;Buenos Aires
036221;v20_Titulo;Fault detection and diagnosis in chemical and petrochemical processes ;Fault detection and diagnosis in chemical and petrochemical processes
036221;v22_Autor_personal;Himmelblau, David M. ;Himmelblau, David M.
036297;v20_Titulo;Practical process instrumentation and control ;Practical process instrumentation and control
036299;v20_Titulo;La esperanza de Pandora: ensayos sobre la realidad de los estudios de la ciencia ;La esperanza de Pandora: ensayos sobre la realidad de los estudios de la ciencia
036314;v20_Titulo;"Presentación proyecto sistema de integración territorial socioproductiva ""Duomóvil"" ";"Presentación proyecto sistema de integración territorial socioproductiva ""Duomóvil"""
036397;v22_Autor_personal;Basso, Alessandro<|>Mandelli, Luigi<|>Sala, Remo<|> ;Basso, Alessandro<|>Mandelli, Luigi<|>Sala, Remo
036412;v43_Lugar_de_edicion;Río Negro ;Río Negro
